Certification_Name,Issuing_Organization,Category,Difficulty_Level,Avg_Exam_Cost_USD,Validity_Period_Yrs,Popularity,Prerequisites
AWS Certified Solutions Architect,Amazon Web Services (AWS),Cloud Computing,Advanced,150,3,High,AWS Cloud Practitioner
Certified Radiation protection practitioner Specialist,Ortiz-Lester,Cloud Computing,Advanced,563,2,High,None
Certified Marketing executive Specialist,"George, Ross and Ruiz",Cloud Computing,Expert,800,3,High,2 years of experience
"Certified Administrator, charities/voluntary organisations Specialist",Casey PLC,Cybersecurity,Expert,254,1,Medium,Related degree
Certified Warehouse manager Specialist,Roy-Delacruz,Project Management,Beginner,872,1,Low,Related degree
Certified Acupuncturist Specialist,Navarro-Miller,Data Science,Expert,1141,5,Medium,2 years of experience
Certified Paramedic Specialist,Watkins-Garcia,Data Science,Beginner,174,3,Low,None
"Certified Scientist, marine Specialist",Powell LLC,Healthcare,Beginner,295,2,High,2 years of experience
Certified Leisure centre manager Specialist,Marsh-Cole,Healthcare,Beginner,1223,3,Low,2 years of experience
"Certified Physicist, medical Specialist","Porter, Lawson and Price",Cloud Computing,Advanced,766,1,Low,2 years of experience
"Certified Engineer, maintenance (IT) Specialist",Anderson and Sons,Data Science,Advanced,1136,1,Low,2 years of experience
Certified Local government officer Specialist,Thompson-Barrett,Healthcare,Intermediate,692,5,Medium,2 years of experience
Certified Radio producer Specialist,Lowe-Ritter,Project Management,Expert,949,1,High,Related degree
Certified Sports administrator Specialist,Taylor-Martin,Cloud Computing,Beginner,201,5,Low,Related degree
Certified Agricultural consultant Specialist,Flynn-Foster,Cybersecurity,Beginner,688,2,High,None
Certified Outdoor activities/education manager Specialist,Flores Ltd,Data Science,Expert,917,2,Low,Related degree
Certified Broadcast journalist Specialist,"Gonzalez, Perkins and Dickerson",Cybersecurity,Advanced,1243,5,Medium,None
Certified Claims inspector/assessor Specialist,"Mullen, Sanchez and Brown",Healthcare,Advanced,148,1,Medium,Related degree
Certified Solicitor Specialist,"Moore, Gates and White",Data Science,Advanced,241,5,Low,2 years of experience
"Certified Designer, jewellery Specialist",Melton PLC,Cybersecurity,Expert,729,3,High,None
"Certified Scientist, audiological Specialist","Vargas, Stevenson and Singleton",Healthcare,Advanced,263,3,High,Related degree
Certified Customer service manager Specialist,Mason-Jackson,Healthcare,Beginner,1031,5,High,None
"Certified Surveyor, building control Specialist","Acosta, Camacho and Mcmillan",Healthcare,Advanced,262,2,Low,Related degree
Certified Insurance claims handler Specialist,Martin-Cooper,Project Management,Expert,1264,3,Low,None
Certified Special educational needs teacher Specialist,Oconnor-Sanchez,Cybersecurity,Advanced,947,3,High,None
Certified Art therapist Specialist,Baxter LLC,Project Management,Intermediate,230,1,High,2 years of experience
Certified Water quality scientist Specialist,Gibbs-Hunt,Project Management,Intermediate,564,1,Medium,Related degree
