user_id,passion,hobby,education_level,age,skills,openness,conscientiousness,extraversion,agreeableness,neuroticism,salary_importance,work_life_balance,career_title
user_0001,Gardening,Skiing,High School,46,"Graphic Design,Singing,Empathy,Robotics",10,5,8,8,4,4,6,Financial Analyst
user_0002,Writing,Hiking,Master's,64,"Writing,Photography,Conflict Resolution",7,7,4,3,2,8,4,Plumber
user_0003,Photography,Scuba Diving,Master's,63,"Video Editing,UI/UX Design,Digital Marketing",10,4,7,4,5,4,8,UX Designer
user_0004,Sports,Dancing,Master's,49,"Data Analysis,Research,Empathy,Writing,Sewing",8,7,6,5,7,9,5,Chef
user_0005,Photography,Baking,Vocational,19,"Singing,UI/UX Design,Time Management,Empathy",10,6,7,5,2,6,7,Plumber
user_0006,Meditation,Playing Guitar,Bachelor's,53,"First Aid,Sewing,Robotics,Writing",8,7,2,6,6,6,4,Sales Representative
user_0007,Cooking,Traveling,Master's,59,"Leadership,Public Speaking",5,6,5,7,6,5,7,Pilot
user_0008,Acting,Reading,Vocational,50,"Negotiation,Public Speaking,AI Prompt Engineering,Financial Literacy,Driving",8,10,3,8,1,5,6,HR Manager
user_0009,Music,Reading,Master's,64,"Singing,Critical Thinking,Programming,Leadership",8,5,9,6,4,4,7,Lawyer
user_0010,History,Pottery,Associate's,40,"Research,Video Editing,Graphic Design,Negotiation",5,10,3,6,3,9,4,Financial Analyst
user_0011,Collecting,Skiing,High School,23,"Video Editing,Singing,Writing,Public Speaking,Financial Literacy",5,7,3,4,4,6,5,Journalist
user_0012,Dancing,Origami,Master's,20,"Photography,Weightlifting,Conflict Resolution",6,4,7,10,5,6,9,Plumber
user_0013,Film,Gardening,Vocational,38,"Photography,Time Management",7,5,9,6,5,9,4,Sales Representative
user_0014,Meditation,Rock Climbing,Bachelor's,61,"Video Editing,Sewing,Empathy,Project Management",3,7,5,9,3,4,6,Sales Representative
user_0015,Writing,Fishing,Master's,57,"Sewing,Cooking,Programming,Financial Literacy,First Aid",7,9,6,6,4,8,4,Cybersecurity Specialist
user_0016,Fashion,Drawing,Vocational,42,"Graphic Design,Creativity",6,8,2,6,4,8,8,Graphic Designer
user_0017,Fitness,Chess,High School,29,"Programming,Critical Thinking,Data Analysis",8,7,9,4,6,6,7,Data Scientist
user_0018,Gardening,Rock Climbing,Bachelor's,18,"Foreign Languages,Video Editing,Sewing,Graphic Design",5,6,8,6,4,3,5,Actor
user_0019,Sports,Yoga,Associate's,49,"Graphic Design,Carpentry,Foreign Languages",9,3,5,7,5,6,9,Civil Engineer
user_0020,DIY,Skiing,Bachelor's,56,"Electrical Repair,Data Analysis,Project Management",5,9,4,4,4,5,6,Electrician
user_0021,Gardening,Swimming,Doctorate,56,"Critical Thinking,Cooking,AI Prompt Engineering",8,8,5,7,2,7,3,Farm Worker
user_0022,Psychology,Skiing,Bachelor's,54,"Cooking,Video Editing,First Aid",6,8,8,9,4,3,6,Mechanic
user_0023,Fashion,Baking,Associate's,34,"UI/UX Design,Graphic Design,Creativity",10,5,10,3,3,5,8,Graphic Designer
user_0024,Entrepreneurship,Photography,Bachelor's,56,"Time Management,Video Editing,Singing,Leadership,UI/UX Design",3,9,5,6,7,5,10,Actor
user_0025,Animals,Reading,Bachelor's,58,"Leadership,Empathy,Public Speaking",4,7,4,7,2,7,7,Elementary Teacher
user_0026,Volunteering,Running,Master's,62,"Electrical Repair,Negotiation,Video Editing",8,7,10,7,2,6,9,Mechanic
user_0027,Magic,Reading,Bachelor's,44,"Empathy,Leadership,Public Speaking",3,8,1,5,3,6,7,Elementary Teacher
user_0028,Writing,Yoga,High School,63,"Programming,Conflict Resolution",8,4,8,9,3,6,5,Psychologist
user_0029,Photography,Painting,Associate's,25,"UI/UX Design,Creativity,Graphic Design",5,9,7,5,7,7,5,Graphic Designer
user_0030,Technology,Scuba Diving,Bachelor's,40,"Data Analysis,Programming",5,7,3,7,4,8,2,Software Engineer
user_0031,Cars,Fishing,Master's,42,"Time Management,Data Analysis,Negotiation,Conflict Resolution,Electrical Repair",4,7,5,6,3,10,3,Social Worker
user_0032,Dancing,Playing Guitar,Associate's,25,"Negotiation,Cybersecurity,Project Management",4,10,6,8,5,9,4,Psychologist
user_0033,Cooking,Bird Watching,Doctorate,52,"Singing,Carpentry,Writing",10,6,6,9,3,5,6,Lawyer
user_0034,Technology,Reading,Bachelor's,26,"Robotics,Video Editing,Singing",7,6,4,4,6,6,8,Plumber
user_0035,Music,Painting,Associate's,27,"Creativity,Graphic Design,UI/UX Design",4,8,4,5,3,7,8,Graphic Designer
user_0036,Environment,Running,Associate's,52,"Sewing,Empathy",8,10,5,5,4,6,4,Marketing Manager
user_0037,Art,Video Gaming,Associate's,40,"Electrical Repair,Conflict Resolution",6,10,3,6,5,5,8,Plumber
user_0038,Art,Painting,Bachelor's,39,"Graphic Design,Creativity,UI/UX Design",6,7,9,10,8,3,6,Graphic Designer
user_0039,Art,Chess,Doctorate,26,"Digital Marketing,Project Management,Cybersecurity",4,6,3,8,3,6,3,UX Designer
user_0040,Reading,Knitting,Bachelor's,22,"Video Editing,Leadership",7,5,5,9,7,5,8,Journalist
user_0041,Environment,Rock Climbing,Doctorate,23,"Financial Literacy,Driving,Cybersecurity,Negotiation,Conflict Resolution",4,7,9,6,3,9,4,Plumber
user_0042,Gardening,Singing,Associate's,39,"Time Management,Conflict Resolution,Writing",10,4,5,7,5,5,8,Marketing Manager
user_0043,Collecting,Cooking,Bachelor's,47,"Foreign Languages,Photography",10,8,7,7,5,5,9,UX Designer
user_0044,Entrepreneurship,Knitting,Master's,37,"Data Analysis,Critical Thinking,Programming",3,5,4,8,6,5,6,Data Scientist
user_0045,Fashion,Reading,High School,62,"Robotics,Data Analysis,Conflict Resolution,Foreign Languages",5,8,1,6,2,8,3,Dentist
user_0046,Volunteering,Board Games,Bachelor's,31,"Leadership,Public Speaking",8,6,5,7,5,9,3,Elementary Teacher
user_0047,Film,Video Gaming,Vocational,23,"Project Management,Sewing",8,7,5,9,4,4,9,Biomedical Engineer
user_0048,Sports,Skiing,High School,33,"Sewing,Cybersecurity,Programming,Conflict Resolution",9,2,5,8,7,6,8,Electrician
user_0049,Cars,Gardening,Vocational,49,"Data Analysis,Digital Marketing,Writing,Financial Literacy,AI Prompt Engineering",8,3,4,7,4,5,8,Chef
