user_id,passion,hobby,education_level,age,skills,openness,conscientiousness,extraversion,agreeableness,neuroticism,salary_importance,work_life_balance,career_title,risk_tolerance,creativity_score,analytical_thinking,people_orientation,detail_oriented,stress_tolerance
user_0001,Gardening,Skiing,High School,46,"Empathy, Graphic Design, Robotics, Singing",10,5,8,8,4,4,6,Financial Analyst,2.0,9.0,8.0,9.0,5.0,6.0
user_0002,Writing,Hiking,Master's,64,"Conflict Resolution, Photography, Writing",7,7,4,3,2,8,4,Plumber,5.0,7.0,6.0,4.0,6.0,9.0
user_0003,Photography,Scuba Diving,Master's,63,"Digital Marketing, UI/UX Design, Video Editing",10,4,7,4,5,4,8,UX Designer,4.0,9.0,3.0,7.0,4.0,6.0
user_0004,Sports,Dancing,Master's,49,"Data Analysis, Empathy, Research, Sewing, Writing",8,7,6,5,7,9,5,Chef,2.0,7.0,5.0,4.0,3.0,5.0
user_0005,Photography,Baking,Vocational,19,"Empathy, Singing, Time Management, UI/UX Design",10,6,7,5,2,6,7,Plumber,9.0,8.0,5.0,9.0,6.0,9.0
user_0006,Meditation,Playing Guitar,Bachelor's,53,"First Aid, Robotics, Sewing, Writing",8,7,2,6,6,6,4,Sales Representative,10.0,9.0,6.0,3.0,8.0,5.0
user_0007,Cooking,Traveling,Master's,59,"Leadership, Public Speaking",5,6,5,7,6,5,7,Pilot,1.0,8.0,6.0,8.0,7.0,7.0
user_0008,Acting,Reading,Vocational,50,"AI Prompt Engineering, Driving, Financial Literacy, Negotiation, Public Speaking",8,10,3,8,1,5,6,HR Manager,2.0,9.0,8.0,3.0,8.0,9.0
user_0009,Music,Reading,Master's,64,"Critical Thinking, Leadership, Programming, Singing",8,5,9,6,4,4,7,Lawyer,4.0,8.0,6.0,7.0,4.0,5.0
user_0010,History,Pottery,Associate's,40,"Graphic Design, Negotiation, Research, Video Editing",5,10,3,6,3,9,4,Financial Analyst,10.0,2.0,9.0,5.0,9.0,8.0
user_0011,Collecting,Skiing,High School,23,"Financial Literacy, Public Speaking, Singing, Video Editing, Writing",5,7,3,4,4,6,5,Journalist,9.0,8.0,10.0,4.0,8.0,7.0
user_0012,Dancing,Origami,Master's,20,"Conflict Resolution, Photography, Weightlifting",6,4,7,10,5,6,9,Plumber,9.0,9.0,4.0,5.0,6.0,4.0
user_0014,Meditation,Rock Climbing,Bachelor's,61,"Empathy, Project Management, Sewing, Video Editing",3,7,5,9,3,4,6,Sales Representative,10.0,8.0,5.0,6.0,8.0,8.0
user_0015,Writing,Fishing,Master's,57,"Cooking, Financial Literacy, First Aid, Programming, Sewing",7,9,6,6,4,8,4,Cybersecurity Specialist,1.0,8.0,6.0,7.0,8.0,7.0
user_0017,Fitness,Chess,High School,29,"Critical Thinking, Data Analysis, Programming",8,7,9,4,6,6,7,Data Scientist,7.0,10.0,7.0,10.0,5.0,8.0
user_0018,Gardening,Rock Climbing,Bachelor's,18,"Foreign Languages, Graphic Design, Sewing, Video Editing",5,6,8,6,4,3,5,Actor,5.0,8.0,8.0,10.0,7.0,3.0
user_0019,Sports,Yoga,Associate's,49,"Carpentry, Foreign Languages, Graphic Design",9,3,5,7,5,6,9,Civil Engineer,4.0,10.0,5.0,6.0,3.0,8.0
user_0020,DIY,Skiing,Bachelor's,56,"Data Analysis, Electrical Repair, Project Management",5,9,4,4,4,5,6,Electrician,6.0,6.0,6.0,4.0,8.0,9.0
user_0021,Gardening,Swimming,Doctorate,56,"AI Prompt Engineering, Cooking, Critical Thinking",8,8,5,7,2,7,3,Farm Worker,2.0,6.0,8.0,4.0,8.0,1.0
user_0022,Psychology,Skiing,Bachelor's,54,"Cooking, First Aid, Video Editing",6,8,8,9,4,3,6,Mechanic,2.0,7.0,5.0,6.0,6.0,6.0
user_0023,Fashion,Baking,Associate's,34,"Graphic Design, UI/UX Design",10,5,10,3,3,5,8,Graphic Designer,6.0,8.0,8.0,7.0,6.0,6.0
user_0024,Entrepreneurship,Photography,Bachelor's,56,"Leadership, Singing, Time Management, UI/UX Design, Video Editing",3,9,5,6,7,5,10,Actor,5.0,5.0,5.0,5.0,8.0,6.0
user_0025,Animals,Reading,Bachelor's,58,"Empathy, Leadership, Public Speaking",4,7,4,7,2,7,7,Elementary Teacher,1.0,5.0,7.0,3.0,10.0,7.0
user_0026,Volunteering,Running,Master's,62,"Electrical Repair, Negotiation, Video Editing",8,7,10,7,2,6,9,Mechanic,8.0,9.0,7.0,6.0,6.0,5.0
