user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism,risk_tolerance,creativity_score,analytical_thinking,people_orientation,detail_oriented,stress_tolerance
user_0001,10,5,8,8,4,2,9,8,9,5,6
user_0002,7,7,4,3,2,5,7,6,4,6,9
user_0003,10,4,7,4,5,4,9,3,7,4,6
user_0004,8,7,6,5,7,2,7,5,4,3,5
user_0005,10,6,7,5,2,9,8,5,9,6,9
user_0006,8,7,2,6,6,10,9,6,3,8,5
user_0007,5,6,5,7,6,1,8,6,8,7,7
user_0008,8,10,3,8,1,2,9,8,3,8,9
user_0009,8,5,9,6,4,4,8,6,7,4,5
user_0010,5,10,3,6,3,10,2,9,5,9,8
user_0011,5,7,3,4,4,9,8,10,4,8,7
user_0012,6,4,7,10,5,9,9,4,5,6,4
user_0013,7,5,9,6,5,4,9,5,6,7,7
user_0014,3,7,5,9,3,10,8,5,6,8,8
user_0015,7,9,6,6,4,1,8,6,7,8,7
user_0016,6,8,2,6,4,3,4,10,4,6,7
user_0017,8,7,9,4,6,7,10,7,10,5,8
user_0018,5,6,8,6,4,5,8,8,10,7,3
user_0019,9,3,5,7,5,4,10,5,6,3,8
user_0020,5,9,4,4,4,6,6,6,4,8,9
user_0021,8,8,5,7,2,2,6,8,4,8,1
user_0022,6,8,8,9,4,2,7,5,6,6,6
user_0023,10,5,10,3,3,6,8,8,7,6,6
user_0024,3,9,5,6,7,5,5,5,5,8,6
user_0025,4,7,4,7,2,1,5,7,3,10,7
user_0026,8,7,10,7,2,8,9,7,6,6,5
user_0027,3,8,1,5,3,2,3,10,2,8,7
user_0028,8,4,8,9,3,2,6,7,6,7,7
user_0029,5,9,7,5,7,5,2,8,5,9,8
user_0030,5,7,3,7,4,10,4,9,4,9,7
user_0031,4,7,5,6,3,6,6,9,3,8,8
user_0032,4,10,6,8,5,4,5,10,4,9,8
user_0033,10,6,6,9,3,2,8,7,9,6,6
user_0034,7,6,4,4,6,4,7,6,3,8,7
user_0035,4,8,4,5,3,5,6,5,1,6,8
user_0036,8,10,5,5,4,4,6,7,3,8,8
user_0037,6,10,3,6,5,2,5,8,4,8,9
user_0038,6,7,9,10,8,5,4,8,7,10,8
user_0039,4,6,3,8,3,6,6,7,9,8,7
user_0040,7,5,5,9,7,6,8,2,9,4,4
user_0041,4,7,9,6,3,4,7,6,8,8,7
user_0042,10,4,5,7,5,5,8,8,8,7,6
user_0043,10,8,7,7,5,2,10,4,9,7,9
user_0044,3,5,4,8,6,3,5,10,2,6,8
user_0045,5,8,1,6,2,4,6,9,3,8,9
user_0046,8,6,5,7,5,8,7,4,5,4,7
user_0047,8,7,5,9,4,5,5,7,8,6,7
user_0048,9,2,5,8,7,9,9,6,8,10,5
user_0049,8,3,4,7,4,6,6,4,5,7,4
user_0050,5,10,4,4,6,1,6,6,3,6,10
user_0051,10,7,4,7,5,1,8,4,5,5,7
user_0052,6,7,3,4,3,6,7,8,2,8,6
user_0053,3,7,6,9,3,5,3,4,7,7,8
user_0054,8,5,3,4,4,4,8,6,3,9,7
