id,career_title,industry_category,median_salary_usd,education_level,skills_required,job_growth_outlook
1,Pet Food Tester,Agriculture,"$35,000",High School,"Taste Sensitivity, Animal Nutrition Knowledge",Low
2,Professional Cuddler,Personal Services,"$40,000",High School,"Empathy, Boundaries Setting",Medium
3,Odor Judge,Manufacturing,"$45,000",High School,"Sensory Evaluation, Attention to Detail",Low
4,Fortune Cookie Writer,Food Production,"$30,000",High School,"Creativity, Concise Writing",Low
5,Water Slide Tester,Entertainment,"$38,000",High School,"Swimming Skills, Safety Awareness",Low
6,Face Feeler (Skincare Testing),Beauty,"$42,000",High School,"Sensory Sensitivity, Patience",Low
7,Professional Line Stand-In,Personal Services,"$32,000",None,"Patience, Time Management",Low
8,Dice Inspector,Manufacturing,"$36,000",High School,"Attention to Detail, Basic Math",Low
9,Golf Ball Diver,Sports,"$45,000",None,"Scuba Certification, Physical Fitness",Low
10,Snake Milker,Agriculture,"$48,000",Vocational,"Animal Handling, Venom Knowledge",Low
11,Chicken Sexer,Agriculture,"$40,000",Vocational,"Animal Anatomy, Quick Decision Making",Low
12,Professional Mourner,Personal Services,"$35,000",None,"Empathy, Performance Skills",Low
13,Stand-up Philosopher,Entertainment,"$50,000",Bachelor's,"Philosophy Knowledge, Public Speaking",Low
14,Beard Model,Fashion,"$60,000",None,"Facial Hair Maintenance, Photogenic",Low
15,Tea Taster,Food Production,"$55,000",Vocational,"Palate Sensitivity, Tea Knowledge",Medium
16,Professional Sleeper,Healthcare,"$45,000",None,"Sleep Analysis, Patience",Low
17,Cat Behaviorist,Animal Care,"$50,000",Certification,"Animal Psychology, Observation Skills",Medium
18,LEGO Sculptor,Creative,"$52,000",None,"Creativity, Fine Motor Skills",Low
19,Color Consultant,Creative,"$58,000",Associate's,"Color Theory, Aesthetic Sense",Medium
20,Professional Bridesmaid,Personal Services,"$45,000",None,"Event Planning, Diplomacy",Low
21,Treehouse Architect,Construction,"$65,000",Vocational,"Carpentry, Creative Design",Low
22,Video Game Tester,Technology,"$50,000",High School,"Gaming Skills, Attention to Detail",Medium
23,Professional Whisperer,Entertainment,"$55,000",None,"Voice Control, Performance Skills",Low
24,Island Caretaker,Tourism,"$48,000",None,"Basic Maintenance, Self-Sufficiency",Low
25,Mermaid/Merman Performer,Entertainment,"$40,000",None,"Swimming Skills, Performance",Low
26,Professional Organizer,Personal Services,"$60,000",None,"Organization Skills, Spatial Awareness",Medium
27,Ethical Hacker,Technology,"$85,000",Certification,"Cybersecurity, Problem Solving",High
28,Foley Artist,Entertainment,"$65,000",Vocational,"Sound Design, Creativity",Medium
29,Food Stylist,Creative,"$70,000",Associate's,"Photography, Culinary Arts",Medium
30,Forensic Artist,Legal,"$75,000",Associate's,"Drawing Skills, Anatomy Knowledge",Medium
31,Professional Santa Claus,Entertainment,"$50,000",None,"Acting Skills, Patience with Children",Low
32,Simulated Patient,Healthcare,"$45,000",None,"Acting Skills, Medical Knowledge",Medium
33,Sommelier,Hospitality,"$80,000",Certification,"Wine Knowledge, Palate Sensitivity",Medium
34,Toy Designer,Creative,"$75,000",Bachelor's,"Creativity, Engineering Basics",Medium
35,Voice Actor,Entertainment,"$60,000",None,"Voice Control, Acting Skills",Medium
36,Waterslide Tester,Entertainment,"$42,000",None,"Swimming Skills, Safety Awareness",Low
37,Ethical Hacker,Technology,"$90,000",Certification,"Cybersecurity, Programming",High
38,Professional Cuddler,Personal Services,"$50,000",None,"Empathy, Boundary Setting",Medium
39,Pet Psychic,Animal Care,"$65,000",None,"Intuition, Animal Behavior Knowledge",Low
40,Professional Snuggler,Personal Services,"$48,000",None,"Comforting Presence, Professional Boundaries",Low
41,Color Namer,Creative,"$55,000",Bachelor's,"Creativity, Color Theory",Low
42,Professional Queuer,Personal Services,"$35,000",None,"Patience, Time Management",Low
43,Beekeeping Consultant,Agriculture,"$60,000",Vocational,"Beekeeping Knowledge, Business Skills",Medium
44,Professional Apologizer,Personal Services,"$45,000",None,"Diplomacy, Communication Skills",Low
45,Flavor Chemist,Science,"$85,000",Bachelor's,"Chemistry, Sensory Evaluation",Medium
46,Professional Sleeper,Healthcare,"$50,000",None,"Sleep Analysis, Patience",Low
47,Ethical Hacker,Technology,"$95,000",Certification,"Cybersecurity, Problem Solving",High
48,Professional Bridesmaid,Personal Services,"$55,000",None,"Event Planning, Diplomacy",Low
49,LEGO Sculptor,Creative,"$65,000",None,"Creativity, Fine Motor Skills",Low
50,Island Caretaker,Tourism,"$60,000",None,"Basic Maintenance, Self-Sufficiency",Low
